از خانواده گربه,1
از حیوانات خانگی,1
حیوانی که سوار آن میشویم,1
پستانداری با شاخ بزرگ,1
جاندار موذی,1
جانوری که در دریا زندگی میکند,1
خزنده بدون پا,1
حیوانی که به ما شیر میدهد,1
جانور خیالی ترسناک,1
حیوان مکار,1
از حیوانات پستاندار,1
حیوانی خزنده,1
ماهی با اسم یک سلاح,1
حفاری که کور است,1
حیوان شیرده,1
حیوان با وفا,1
پرنده که روی یک پا می ایستد,1
حیوانی که در آب زنگی میکند,1
کبوتر صحرایی,1
ماهی ای گوشت خوار در جنگل امازون,1
حیوان عاج‌دار,1
جانوری سخت پشت,1
پستاندار موذی در آمریکای شمالی,1
از حیوانات خزنده,1
حیوانی که از بامبو تغذیه میکند,1
پنجمین شرکت خودروسازی در ژاپن,1
ماهی عظیم,1
دوست انسان,1
پرنده ای که ئدر قطب زندگی میکند,1
پرنده ای بزرگ که نمی تواند پرواز کند,1
خزنده خاکی,1
فیل عصر یخبندان,1
ماهی خطرناک,1
حیوان باهوش,1
گوشت خوار اهلی,1
نوعی میمون,1
خطرناک ترین موجود دریا,1
جانوری دو زیست,1
ماهی ای که در سفره ی عید استفاده میشود,1
ماهی با اسم یک ابزار,1
حیوانی شاخ دار که روی صخره ها زندگی میکند,1
بدون دست وپا,1
گونه در حال انقراض در ایران,1
حیوانی که دست و پا ندارد و خزنده است,1
پرنده با غذای ماهی,1
پستاندار نجیب,1
کوچک ترین حیوان که نسبت به اندازه خود قدرت بسیار دارد,1
نام دیگر عنبرماهی,1
فرزندد الاغ و اسب,1
پرنده‌ ای اهلی,1
جانوری دوزیست,1
ماهی خزنده,1
بزرگترین پستاندار,1
نام موجودی منقرض شده,1
بزرگ ترین حیوان جهان,1
حشره خونخوار,1
حیوان وفادار,1
شتر گاو پلنگ,1
گربه ایرانی,1
خزنده ای که هم در آب است و هم در خشکی,1
گوش بزرگ,1
پرنده ای پستاندار,1
شتر تندرو,1
پرنده سعادت,1
نزدیک ترین حیوان به انسان,1
گربه سانی بزرگ که در آفریقا و آسیا یافت می شود,1
حیوانی راه راه سفید و سیاه,1
پستاندار دریایی بسیار باهوش,1
حیوانی است اهلی,1
حشره حمام,1
از حیوانات تخم گذار,1
نوعی مار بزرگ,1
حیوانی که هویج دوست دارد,1
تک سلولی دریا,1
نوعی مار خطرناک,1
پرنده مظهر وفا,1
حیوان نجیب,1
حیوانی بزرگ که یک شاخ دارد,1
ماهی نارنجی رنگ,1
پرنده حضرت سلیمان,1
پرنده صلح و دوستی,1
پرنده ی شب خیز,1
حیوان بارکش,1
پرنده شب,1
پرنده باوقار,1
پرنده افسانه‌ای,1
خرنده خاکی,1
بزرگ ترین حیوان,1
پستانداری با دم زیبا,1
اسب یال قرمز و دم سیاه,1
خرسی که در قطب زندگی میکند,1
پرنده نجار,1
شکارچی موش,1
حیوان معروف استرالیا,1
سلطان جنگل,1
پرنده استوایی,1
پرنده‌ای که در ارتفاع زندگی می‌کند,1
پرنده سخنگو,1
جانوری دارای چنگال,1
خرسی سفید و سیاه,1
حیوان سمبل کشور استرالیا,1
نوعی سگ,1
بزرگ ترین گربه سان,1
پرنده وفادار,1
پرنده ای که تماما سیاه است,1
جانوری خزنده,1
حیوان ملی کانادا,1
از نژاد گربه,1
حیوان بومی استرالیا,1
حیوانی که تار صوتی ندارد,1
حیوان ورزش چوگان,1
نوعی نژاد سگ,1
پرنده برفی,1
پستانداری که پرواز می‌کند,1
پرنده افسانه ای,1
جانور مولد برق,1
موش بالدار,1
حشره مجذوب شمع,1
پرنده ای گوشت خوار و باوقار,1
از پرندگان کوچک و خوش آواز که ساری هم میگویند,1
شتر ابپاش,1
پرنده ولی پستاندار,1
گردن دراز,1
خزنده ترسناک بزرگ,1
نام یک تک سلولی,1
حیوان دست آموز,1
نوعی حیوان در معرض انقراض,1
چرنده بزرگ,1
پرنده باهوش,1
حیوانی درنده,1
اسب تندرو,1
از پرندگان وحشی,1
درنده با پوست زیبا,1
حیوانی اهلی با چهارپا,1
اسب کوتوله,1
یار محفل شمع و گل,1
شبیه ترین حیوان به ژن انسان,1
خزنده ای خانه به دوش,1
حیوانی راه راه,1
بزرگ ترین پرنده ی دنیا,1
جانور حریص,1
شکارچی آفریقا,1
شتر بی کوهان,1
اولین ماه شمسی,2
نام دیگر پاییز,2
فصلی که در ان درختان شکوفه می دهند,2
هشتمین ماه میلادی,2
دومین ماه میلادی,2
اولین ماه سال شمسی,2
نهمین ماه شمسی,2
دوازدهمین ماه شمسی,2
برف میباره,2
از برج های سال میلادی,2
نام دیگر شتا,2
هفتیم ماه میلادی,2
سومین فصل,2
فصل برفی,2
سردترین فصل سال,2
ماه جشن خرمن,2
دهمین ماه میلادی,2
چهارمین ماه میلادی,2
نهمین ماه میلادی,2
سومین فصل سال شمسی,2
ماهی که روز تولد کوروش کبیر در آن ماه است,2
ماهی که در آن مدارس باز میشوند,2
هشتمین ماه شمسی,2
ششمین ماه میلادی,2
فصلی که برگ درختان زرد می شود,2
دومین ماه زمستان,2
اخرین ماه سال شمسی,2
گرمترین فصل سال,2
تابستان به انگلیسی,2
ماه بازگشایی مدارس,2
فصل سرما,2
هفتیم ماه شمسی,2
دومین ماه شمسی,2
ماهی که شب بلدا آخرین روز آن است,2
ششمین ماه شمسی,2
یازدهمین ماه میلادی,2
پنجمین ماه میلادی,2
ماهی که بعد از دسامبر می آید,2
شب یلدا در این فصل است,2
از ماه‌های سريانی,2
چهارمین ماه شمسی,2
ماه میلادی تولد حضرت مسیح,2
ماه میلادی با ۲۸ روز,2
اخرین ماه سال میلادی,2
سومین ماه میلادی,2
سومین ماه شمسی,2
فصلی که نوروز در آن است,2
بلک فرایدی در این ماه است,2
سومین فصل سال,2
فلصی که در آن مدارس تعطیل است,2
نام عید سال نو شمسی,2
یازدهمین ماه شمسی,2
سال قمری با این ماه آغاز میشود,2
اولین ماه میلادی,2
پنجمین ماه شمسی,2
فصل کریسمس,2
نام دیگر صیف,2
ماه اول سال,2
دهمین ماه شمسی,2
ماه سوم میلادی,2
اخرین ماه میلادی,2
فصل تعطیلات,2
عید نوروز,2
دوازدهمین ماه میلادی,2
فصل شروع سال تحصیلی,2
سومین ماه از سومین فصل سال,2
به گلدان اب میدهد,3
سنجش زمان,3
جعبه‌ای حاوی چیز های ارزشمند,3
قلم را در ان میزنند,3
وسیله ای در اتاق خواب,3
برای حمل وسایل,3
روی آن مینشینیم,3
جهت سلامت دندان ها,3
محل قرار دادن وسایل,3
وسیله ای برای نوشتن,3
اتاق را گرم میکند,3
قطعه اصلی ترمز خودرو,3
ماده آرایشی مژه,3
مجسمه معروف در نیویورک,3
ابزار روشنایی,3
نگهدارنده گل ها,3
محل نشستن,3
یک شی که پا را در آن میگذاریم,3
برای خشک کردن گوش,3
وسیله نوشتن,3
محل قرار دادن گل,3
وسیله‌ی که در آن غذا پخت میشود,3
وسیله کاهش فشار,3
رویه چرخ اتومبیل,3
مایه حیات,3
